artist_rank,artist_name,artist_mbid,track_rank,track_title,lastfm_listeners,lastfm_playcount,mb_recording_id,mb_recording_length_ms
1,The Weeknd,c8b03190-306c-4120-bb0b-6f2ebfc06ea9,1,Blinding Lights,2200565,36236274,5bdbfe86-4ad5-4c19-8d29-ee5f30ba628b,262000
1,The Weeknd,c8b03190-306c-4120-bb0b-6f2ebfc06ea9,2,Starboy,2154136,30477093,196f19ab-9c4d-49c7-ac59-9cc70de66845,245000
1,The Weeknd,c8b03190-306c-4120-bb0b-6f2ebfc06ea9,3,The Hills,1968048,25135873,2a37fbe6-f3e7-418e-90d0-a09453f630ab,242290
1,The Weeknd,c8b03190-306c-4120-bb0b-6f2ebfc06ea9,4,Die for You,1838768,30725091,fc251bae-e606-466a-a554-3ade762ba70d,167000
1,The Weeknd,c8b03190-306c-4120-bb0b-6f2ebfc06ea9,5,Can't Feel My Face,1726024,17175434,08b815da-5d60-4807-a605-f6af03d5471d,213640
1,The Weeknd,c8b03190-306c-4120-bb0b-6f2ebfc06ea9,6,Save Your Tears,1722569,25406934,fbf4ba44-621c-42c4-b9df-1c22a5b8109a,221000
1,The Weeknd,c8b03190-306c-4120-bb0b-6f2ebfc06ea9,7,Stargirl Interlude,1700966,34693531,761749b4-4b1b-4ab7-9646-3262f37a1773,113000
1,The Weeknd,c8b03190-306c-4120-bb0b-6f2ebfc06ea9,8,Call Out My Name,1459211,19281937,d1b933f0-00eb-423d-ac57-00840f4d5e68,242899
1,The Weeknd,c8b03190-306c-4120-bb0b-6f2ebfc06ea9,9,I Feel It Coming,1342722,14540073,9688d807-0f2d-45a6-8df5-cd4fdc37938c,234114
1,The Weeknd,c8b03190-306c-4120-bb0b-6f2ebfc06ea9,10,"One of the Girls (with JENNIE, Lily Rose Depp)",1279273,23790299,,
1,The Weeknd,c8b03190-306c-4120-bb0b-6f2ebfc06ea9,11,Heartless,1195293,18896222,e1f6d6ad-16ce-4d88-84d5-c692c1088eca,124255
1,The Weeknd,c8b03190-306c-4120-bb0b-6f2ebfc06ea9,12,Often,1141793,12880164,7a445048-9883-4d6d-aaf3-538c9b6250d9,250000
1,The Weeknd,c8b03190-306c-4120-bb0b-6f2ebfc06ea9,13,Is There Someone Else?,1138959,19356160,8a106831-6cb2-4d94-95d7-69be51c68df8,237904
1,The Weeknd,c8b03190-306c-4120-bb0b-6f2ebfc06ea9,14,After Hours,1119787,18156368,f41f1c89-7778-4398-9986-1a37b57ff898,367000
1,The Weeknd,c8b03190-306c-4120-bb0b-6f2ebfc06ea9,15,Reminder,1040942,15117305,2354098a-c7de-4691-88fa-0f147b29000b,218879
2,Taylor Swift,20244d07-534f-4eff-b4d4-930878889970,1,Blank Space,1696723,26380820,07eea45c-c211-4c20-8b13-e8818ef0ebe3,183000
2,Taylor Swift,20244d07-534f-4eff-b4d4-930878889970,2,Cruel Summer,1605620,47057046,992debd8-0411-4cc9-9ae8-61b6e9407bc9,229566
2,Taylor Swift,20244d07-534f-4eff-b4d4-930878889970,3,Shake It Off,1531308,17933343,2ccf1b28-9986-4643-85fc-41488db48619,
2,Taylor Swift,20244d07-534f-4eff-b4d4-930878889970,4,cardigan,1461612,42423695,eb623fb9-ed07-4f13-a8aa-446f014c5fee,232000
2,Taylor Swift,20244d07-534f-4eff-b4d4-930878889970,5,Style,1451764,31077989,6b432d18-38fa-41bb-b80f-05adab2dc140,
2,Taylor Swift,20244d07-534f-4eff-b4d4-930878889970,6,Love Story,1428223,13813136,321cc770-1c16-4457-a569-7997d431995b,
2,Taylor Swift,20244d07-534f-4eff-b4d4-930878889970,7,You Belong with Me,1349806,13013238,9a7cef9a-9466-4345-8463-cff44e58f0a5,287555
2,Taylor Swift,20244d07-534f-4eff-b4d4-930878889970,8,august,1310547,40822290,b4587dea-4933-4cc4-9f09-b511f5e5be83,261923
2,Taylor Swift,20244d07-534f-4eff-b4d4-930878889970,9,Anti-Hero,1301998,33162747,617e898f-2c50-4943-a844-f41c21506062,203000
2,Taylor Swift,20244d07-534f-4eff-b4d4-930878889970,10,Lover,1280348,26233006,d47c6853-6877-4e83-bc88-e2341f2161a2,221000
2,Taylor Swift,20244d07-534f-4eff-b4d4-930878889970,11,Don’t Blame Me,1194588,25389066,3ac7617c-f754-432c-82dd-2cd4d076bf01,
2,Taylor Swift,20244d07-534f-4eff-b4d4-930878889970,12,Look What You Made Me Do,1182429,22213779,9850a8f8-5686-4766-bd8a-bcdef2c5faba,
